"SAN.MC,29/01/2013 17:36:00,"6,496"
"SAN.MC,30/01/2013 17:36:00,"6,4"
"SAN.MC,31/01/2013 17:36:00,"6,179"
"SAN.MC,1/02/2013 17:36:00,"6,035"
"SAN.MC,4/02/2013 17:36:00,"5,691"
"SAN.MC,5/02/2013 17:36:00,"5,86"
"SAN.MC,6/02/2013 17:36:00,"5,831"
"SAN.MC,7/02/2013 17:36:00,"5,795"
"SAN.MC,8/02/2013 17:36:00,6
"SAN.MC,11/02/2013 17:36:00,"5,904"
"SAN.MC,12/02/2013 17:36:00,"6,007"
"SAN.MC,13/02/2013 17:36:00,"6,027"
"SAN.MC,14/02/2013 17:36:00,"5,978"
"SAN.MC,15/02/2013 17:36:00,"5,894"
"SAN.MC,18/02/2013 17:36:00,"5,856"
"SAN.MC,19/02/2013 17:36:00,"5,968"
"SAN.MC,20/02/2013 17:36:00,"5,86"
"SAN.MC,21/02/2013 17:36:00,"5,71"
"SAN.MC,22/02/2013 17:36:00,"5,846"
"SAN.MC,25/02/2013 17:36:00,"5,896"
"SAN.MC,26/02/2013 17:36:00,"5,619"
"SAN.MC,27/02/2013 17:36:00,"5,775"
"SAN.MC,28/02/2013 17:36:00,"5,811"
"SAN.MC,1/03/2013 17:36:00,"5,734"
"SAN.MC,4/03/2013 17:36:00,"5,757"
"SAN.MC,5/03/2013 17:36:00,"5,867"
"SAN.MC,6/03/2013 17:36:00,"5,782"
"SAN.MC,7/03/2013 17:36:00,"5,8"
"SAN.MC,8/03/2013 17:36:00,"5,985"
"SAN.MC,11/03/2013 17:36:00,"5,903"
"SAN.MC,12/03/2013 17:36:00,"5,867"
"SAN.MC,13/03/2013 17:36:00,"5,821"
"SAN.MC,14/03/2013 17:36:00,"5,97"
"SAN.MC,15/03/2013 17:36:00,"5,969"
"SAN.MC,18/03/2013 17:36:00,"5,83"
"SAN.MC,19/03/2013 17:36:00,"5,618"
"SAN.MC,20/03/2013 17:36:00,"5,718"
"SAN.MC,21/03/2013 17:36:00,"5,642"
"SAN.MC,22/03/2013 17:36:00,"5,595"
"SAN.MC,25/03/2013 17:36:00,"5,414"
"SAN.MC,26/03/2013 17:36:00,"5,288"
"SAN.MC,27/03/2013 17:36:00,"5,231"
"SAN.MC,28/03/2013 17:36:00,"5,242"
"SAN.MC,2/04/2013 17:36:00,"5,388"
"SAN.MC,3/04/2013 17:36:00,"5,23"
"SAN.MC,4/04/2013 17:36:00,"5,194"
"SAN.MC,5/04/2013 17:36:00,"5,182"
"SAN.MC,8/04/2013 17:36:00,"5,195"
"SAN.MC,9/04/2013 17:36:00,"5,248"
"SAN.MC,10/04/2013 17:36:00,"5,516"
"SAN.MC,11/04/2013 17:36:00,"5,538"
"SAN.MC,12/04/2013 17:36:00,"5,249"
"SAN.MC,15/04/2013 17:36:00,"5,25"
"SAN.MC,16/04/2013 17:36:00,"5,237"
"SAN.MC,17/04/2013 17:36:00,"5,153"
"SAN.MC,18/04/2013 17:36:00,"5,17"
"SAN.MC,19/04/2013 17:36:00,"5,228"
"SAN.MC,22/04/2013 17:36:00,"5,305"
"SAN.MC,23/04/2013 17:36:00,"5,579"
"SAN.MC,24/04/2013 17:36:00,"5,622"
"SAN.MC,25/04/2013 17:36:00,"5,49"
"SAN.MC,26/04/2013 17:36:00,"5,414"
"SAN.MC,29/04/2013 17:36:00,"5,555"
"SAN.MC,30/04/2013 17:36:00,"5,491"
"SAN.MC,2/05/2013 17:36:00,"5,48"
"SAN.MC,3/05/2013 17:36:00,"5,584"
"SAN.MC,6/05/2013 17:36:00,"5,546"
"SAN.MC,7/05/2013 17:36:00,"5,62"
"SAN.MC,8/05/2013 17:36:00,"5,63"
"SAN.MC,9/05/2013 17:36:00,"5,587"
"SAN.MC,10/05/2013 17:36:00,"5,5"
"SAN.MC,13/05/2013 17:36:00,"5,38"
"SAN.MC,14/05/2013 17:36:00,"5,34"
"SAN.MC,15/05/2013 17:36:00,"5,43"
"SAN.MC,16/05/2013 17:36:00,"5,44"
"SAN.MC,17/05/2013 17:36:00,"5,505"
"SAN.MC,20/05/2013 17:36:00,"5,465"
"SAN.MC,21/05/2013 17:36:00,"5,443"
"SAN.MC,22/05/2013 17:36:00,"5,468"
"SAN.MC,23/05/2013 17:36:00,"5,383"
"SAN.MC,24/05/2013 17:36:00,"5,306"
"SAN.MC,27/05/2013 17:36:00,"5,411"
"SAN.MC,28/05/2013 17:36:00,"5,579"
"SAN.MC,29/05/2013 17:36:00,"5,589"
"SAN.MC,30/05/2013 17:36:00,"5,583"
"SAN.MC,31/05/2013 17:36:00,"5,54"
"SAN.MC,3/06/2013 17:36:00,"5,498"
"SAN.MC,4/06/2013 17:36:00,"5,582"
"SAN.MC,5/06/2013 17:36:00,"5,518"
"SAN.MC,6/06/2013 17:36:00,"5,434"
"SAN.MC,7/06/2013 17:36:00,"5,467"
"SAN.MC,10/06/2013 17:36:00,"5,412"
"SAN.MC,11/06/2013 17:36:00,"5,298"
"SAN.MC,12/06/2013 17:36:00,"5,282"
"SAN.MC,13/06/2013 17:36:00,"5,254"
"SAN.MC,14/06/2013 17:36:00,"5,289"
"SAN.MC,17/06/2013 17:36:00,"5,3"
"SAN.MC,18/06/2013 17:36:00,"5,322"
"SAN.MC,19/06/2013 17:36:00,"5,25"
"SAN.MC,20/06/2013 17:36:00,"5,031"
"SAN.MC,21/06/2013 17:36:00,"4,958"
"SAN.MC,24/06/2013 17:36:00,"4,844"
"SAN.MC,25/06/2013 17:36:00,"4,87"
"SAN.MC,26/06/2013 17:36:00,"5,052"
"SAN.MC,27/06/2013 17:36:00,"4,965"
"SAN.MC,28/06/2013 17:36:00,"4,902"
"SAN.MC,1/07/2013 17:36:00,"5,05"
"SAN.MC,2/07/2013 17:36:00,"5,06"
"SAN.MC,3/07/2013 17:36:00,"4,947"
"SAN.MC,4/07/2013 17:36:00,"5,146"
"SAN.MC,5/07/2013 17:36:00,"5,01"
"SAN.MC,8/07/2013 17:36:00,"5,149"
"SAN.MC,9/07/2013 17:36:00,"5,15"
"SAN.MC,10/07/2013 17:36:00,"5,095"
"SAN.MC,11/07/2013 17:36:00,"5,114"
"SAN.MC,12/07/2013 17:36:00,"5,031"
"SAN.MC,15/07/2013 17:36:00,"4,92"
"SAN.MC,16/07/2013 17:36:00,"4,87"
"SAN.MC,17/07/2013 17:36:00,"4,939"
"SAN.MC,18/07/2013 17:36:00,"5,03"
"SAN.MC,19/07/2013 17:36:00,"4,998"
"SAN.MC,22/07/2013 17:36:00,"5,019"
"SAN.MC,23/07/2013 17:36:00,"5,13"
"SAN.MC,24/07/2013 17:36:00,"5,259"
"SAN.MC,25/07/2013 17:36:00,"5,4"
"SAN.MC,26/07/2013 17:36:00,"5,45"
"SAN.MC,29/07/2013 17:36:00,"5,451"
"SAN.MC,30/07/2013 17:36:00,"5,493"
"SAN.MC,31/07/2013 17:36:00,"5,494"
"SAN.MC,1/08/2013 17:36:00,"5,533"
"SAN.MC,2/08/2013 17:36:00,"5,545"
"SAN.MC,5/08/2013 17:36:00,"5,501"
"SAN.MC,6/08/2013 17:36:00,"5,501"
"SAN.MC,7/08/2013 17:36:00,"5,544"
"SAN.MC,8/08/2013 17:36:00,"5,628"
"SAN.MC,9/08/2013 17:36:00,"5,671"
"SAN.MC,12/08/2013 17:36:00,"5,664"
"SAN.MC,13/08/2013 17:36:00,"5,692"
"SAN.MC,14/08/2013 17:36:00,"5,755"
"SAN.MC,15/08/2013 17:36:00,"5,686"
"SAN.MC,16/08/2013 17:36:00,"5,82"
"SAN.MC,19/08/2013 17:36:00,"5,654"
