"MAP.MC,2/10/2013 17:36:00,"2,68"
"MAP.MC,3/10/2013 17:36:00,"2,684"
"MAP.MC,4/10/2013 17:36:00,"2,726"
"MAP.MC,7/10/2013 17:36:00,"2,69"
"MAP.MC,8/10/2013 17:36:00,"2,644"
"MAP.MC,9/10/2013 17:36:00,"2,66"
"MAP.MC,10/10/2013 17:36:00,"2,722"
"MAP.MC,11/10/2013 17:36:00,"2,757"
"MAP.MC,14/10/2013 17:36:00,"2,758"
"MAP.MC,15/10/2013 17:36:00,"2,785"
"MAP.MC,16/10/2013 17:36:00,"2,845"
"MAP.MC,17/10/2013 17:36:00,"2,889"
"MAP.MC,18/10/2013 17:36:00,"2,962"
"MAP.MC,21/10/2013 17:36:00,"2,994"
"MAP.MC,22/10/2013 17:36:00,"2,97"
"MAP.MC,23/10/2013 17:36:00,"2,906"
"MAP.MC,24/10/2013 17:36:00,"2,942"
"MAP.MC,25/10/2013 17:36:00,"2,94"
"MAP.MC,28/10/2013 17:36:00,"2,893"
"MAP.MC,29/10/2013 17:36:00,"2,934"
"MAP.MC,30/10/2013 17:36:00,"2,885"
"MAP.MC,31/10/2013 17:36:00,"2,964"
"MAP.MC,1/11/2013 17:36:00,"2,938"
"MAP.MC,4/11/2013 17:36:00,"2,935"
"MAP.MC,5/11/2013 17:36:00,"2,905"
"MAP.MC,6/11/2013 17:36:00,"2,963"
"MAP.MC,7/11/2013 17:36:00,"2,965"
"MAP.MC,8/11/2013 17:36:00,"2,989"
"MAP.MC,11/11/2013 17:36:00,"3,016"
"MAP.MC,12/11/2013 17:36:00,"3,018"
MAP.MC,13/11/2013 17:36:00,3
"MAP.MC,14/11/2013 17:36:00,"2,9"
"MAP.MC,15/11/2013 17:36:00,"2,919"
"MAP.MC,18/11/2013 17:36:00,"2,914"
"MAP.MC,19/11/2013 17:36:00,"2,91"
"MAP.MC,20/11/2013 17:36:00,"2,88"
"MAP.MC,21/11/2013 17:36:00,"2,893"
"MAP.MC,22/11/2013 17:36:00,"2,902"
